,Danish,English,Da_ARI,En_ARI,Avg_ARI
2864,Den skal være synlig.,It must be visible.,1.7650000000000006,-0.5899999999999999,0.5875000000000004
4707,Det drejer sig om EURODAC.,I refer to Eurodac.,1.7940000000000005,-0.5899999999999999,0.6020000000000003
6922,"Det er som en slange, der bider i sin egen hale.",They are like a snake biting its own tail.,0.34090909090908994,0.8633333333333333,0.6021212121212116
2933,Tak for svaret.,Thank you for your reply.,0.4800000000000004,0.8520000000000003,0.6660000000000004
829,Mange tak!,Thank you very much.,0.7650000000000006,0.5874999999999986,0.6762499999999996
6741,"Jeg er helt enig, og det vil vi også gøre.","I agree, absolutely. We shall do so.",-0.8870000000000005,2.2557142857142836,0.6843571428571416
7101,"Vi mener, at det er rigtigt.",We think they should.,-0.375,1.7650000000000006,0.6950000000000003
3020,Jeg vil igen opfordre Kina til dette.,I urge the Chinese again to do so.,2.9285714285714306,-1.5337499999999977,0.6974107142857164
3547,Men sådan er det nu engang.,"That is just the way things are, however.",-1.1600000000000001,2.5874999999999986,0.7137499999999992
7620,Vi går nu over til afstemning.,We shall now proceed to the vote.,1.1950000000000003,0.23714285714285666,0.7160714285714285
7661,"Tak, hr. van Velzen.","Thank you, Mr van Velzen.",0.5874999999999986,0.8520000000000003,0.7197499999999994
4727,Men jeg vil gerne tilføje et advarende ord.,But I want to add a word of caution.,3.7650000000000006,-2.2766666666666637,0.7441666666666684
8769,"Man må håbe, det lykkes.",One can only hope that it succeeds.,-0.08999999999999986,1.5828571428571436,0.7464285714285719
8232,"Det er dét, og kun det, sagen drejer sig om.","This is all I am talking about here, just that.",0.054999999999999716,1.468,0.7614999999999998
3093,Anden del,Second Part,-1.5899999999999999,3.120000000000001,0.7650000000000006
2917,Første del,First Part,0.7650000000000006,0.7650000000000006,0.7650000000000006
9808,En kombination af disse to mål er ikke let.,It is not easy to combine those aims.,1.3866666666666667,0.2325000000000017,0.8095833333333342
410,Nu er man kommet meget bagud i sagen.,We are badly behind now in this matter.,0.2325000000000017,1.4100000000000001,0.8212500000000009
5940,I teorien kunne vi godt have gjort det.,"In theory, we could have done so.",1.4100000000000001,0.23714285714285666,0.8235714285714284
8618,Det er yderst uheldigt.,This is not very good at all.,4.120000000000001,-2.4542857142857173,0.8328571428571419
25,"Tak, hr. Segni, det gør jeg med glæde.","Thank you, Mr Segni, I shall do so gladly.",0.8212499999999991,0.8633333333333333,0.8422916666666662
821,"Hr. Wynn, det er logisk.","Mr Wynn, that makes sense.",-0.08999999999999986,1.7940000000000005,0.8520000000000003
5874,New Zealand har gjort.,So I want to put this question to you.,2.942499999999999,-1.2299999999999969,0.8562500000000011
7809,"Hvis de giver efter, er de fortabt.","If they yield, they are lost.",1.5828571428571436,0.41000000000000014,0.9964285714285719
9247,Her agter vi i fællesskab at sætte Europa i gang.,We too want to help put Europe on its feet.,2.41,-0.41600000000000037,0.9969999999999999
2226,"Jeg vil gerne fortælle Dem, hvad vi skal gøre.",I will tell you a few things we should do.,2.956666666666667,-0.8870000000000005,1.0348333333333333
3700,Jeg vil gerne komme med et eksempel på dette.,I will give you one example of this.,2.43333333333333,-0.3562499999999993,1.0385416666666654
7283,Fortsæt ikke med det!,Do not continue in this vein!,1.7650000000000006,0.41000000000000014,1.0875000000000004
6184,"Det er en stor opgave, men overkommelig.",This is a big task but it can be done.,4.947142857142854,-2.771000000000001,1.0880714285714266
8550,Det forekommer mig lidt for lang tid.,That seems to me to be rather too long.,2.9285714285714306,-0.706666666666667,1.1109523809523818
6865,"Det er noget, vi alle kan støtte.",It is something that we can all support.,0.23714285714285666,1.9987500000000011,1.117946428571429
4759,Tak for svaret.,Thank you for your answer.,0.4800000000000004,1.7940000000000005,1.1370000000000005
9455,"Det er ikke det, som Prodi er formand for i dag.",That is not what Mr Prodi is President of today.,0.34090909090908994,1.939,1.139954545454545
153,"Det, mener jeg, er en god løsning.",This seems to me to be a workable solution.,0.9100000000000001,1.3866666666666667,1.1483333333333334
759,Jeg er enig i Deres analyse.,I agree with your analysis.,-0.375,2.735999999999997,1.1804999999999986
8720,Denne periode er nu vel overstået.,That time is now past.,4.334999999999997,-1.9740000000000002,1.1804999999999986
3897,Det er vigtigt at huske på.,It is important to remember that.,-1.1600000000000001,3.5500000000000007,1.1950000000000003
3329,Jeg er helt enig med Dem.,"Firstly, I agree with you entirely.",-2.729999999999997,5.120000000000001,1.195000000000002
5896,Jeg spørger jo ikke om det uden grund.,I have good reason for asking this.,0.8212499999999991,1.5828571428571436,1.2020535714285714
6582,Der er ansøgt om 35 millioner euro.,We have been asked for EUR 35 million.,1.5828571428571436,0.8212499999999991,1.2020535714285714
90,Der var en afstemning om dette punkt.,There was a vote on this matter.,2.9285714285714306,-0.4357142857142833,1.2464285714285737
6940,Det er skamløst!,It is shameful!,2.0500000000000007,0.4800000000000004,1.2650000000000006
9249,Det støtter vi.,We support that.,0.4800000000000004,2.0500000000000007,1.2650000000000006
8239,Vi er ved at tale med jurister om sagen.,We are taking legal advice.,-0.18333333333333357,2.735999999999997,1.2763333333333318
2214,Men det eksisterer ikke.,But this is not in place.,5.297499999999999,-2.729999999999997,1.2837500000000013
5277,Det er den samme omgang møg!,They are all tarred with the same dirty brush!,-0.375,2.956666666666667,1.2908333333333335
9952,De vil se resultater.,They want to see results.,1.7650000000000006,0.8520000000000003,1.3085000000000004
2960,"Hvis ikke, hvorfor?","If not, why not?",6.760000000000002,-4.122500000000002,1.3187499999999996
8646,Det er en vanskelig opgave.,This is an arduous task.,2.735999999999997,-0.08999999999999986,1.3229999999999986
2233,Det har vi brug for for skibes vedkommende.,This is what we need for ships.,3.7650000000000006,-1.1085714285714268,1.328214285714287
6691,"Alt det skal ske, og det hurtigt.","All of this needs to happen, and quickly too.",0.23714285714285666,2.43333333333333,1.3352380952380933
1333,Det er ikke for at bevare arbejdspladser.,Not to save jobs.,5.620000000000001,-2.9450000000000003,1.3375000000000004
5798,Er det Rådet?,The Council?,-2.66,5.475000000000001,1.4075000000000006
9097,"Jeg tog den straf, der blev mig tildelt.",I took the punishment that came to me.,1.9987500000000011,0.8212499999999991,1.4100000000000001
149,"Jeg beklager, hr. Hänsch og hr.","I am terribly sorry, Mr Hänsch and Mr Cox.",1.9800000000000004,0.8633333333333333,1.4216666666666669
5903,USA. Vi må ikke være naive og tro noget andet.,We should not be so naïve as to think otherwise.,0.9969999999999999,1.939,1.468
2303,Hvor er Erikas ejere?,Where are the Erika' s owners?,1.7650000000000006,1.1950000000000003,1.4800000000000004
5428,"Det var alles værk, ikke kun en enkelt gruppes.","We all took part in it, not just one group.",3.4800000000000004,-0.41600000000000037,1.532
9172,"Det er det, som vi skal gøre for Balkanlandene.",This is what we need to do for the Balkans.,3.4800000000000004,-0.41600000000000037,1.532
4803,"Det er et spørgsmål, der står åbent.",The matter is still open.,2.2557142857142836,0.8520000000000003,1.553857142857142
6966,"Det er det, kultur 2000 handler om.",That is what Culture 2000 is about.,1.5828571428571436,1.5828571428571436,1.5828571428571436
817,Vi har taget det til efterretning.,We have taken note of this.,4.334999999999997,-1.1600000000000001,1.5874999999999986
7155,Det er også et vigtigt punkt.,This is also an important point.,0.41000000000000014,2.7650000000000006,1.5875000000000004
3666,Har man ikke taget ved lære?,Have the lessons not been learnt?,-0.375,3.5500000000000007,1.5875000000000004
449,"Vi ønsker ikke et Europa, der kun består af byer.",We do not want to build a Europe of cities alone.,2.41,0.7690909090909095,1.5895454545454548
7884,"Men jeg ved ikke, hvor klogt det var.","However, I do wonder about the wisdom of this.",0.2325000000000017,2.956666666666667,1.5945833333333344
3943,Det mangler vi.,These are what are missing.,0.4800000000000004,2.735999999999997,1.6079999999999988
6105,Det skal være det afgørende punkt.,This is the crux of the matter.,4.334999999999997,-1.1085714285714268,1.6132142857142853
694,Og det er jo i sidste instans målet.,Surely this must be the ultimate goal.,-0.3562499999999993,3.6014285714285705,1.6225892857142856
6750,Et eksempel på dette er anvendelsen af tørv.,One example is the use of peat.,4.353750000000002,-1.1085714285714268,1.6225892857142874
6216,"De er der, men der er også visse grænser.","Of course they do, but they are not unlimited.",0.33999999999999986,2.956666666666667,1.6483333333333334
5335,Det er ikke altid tilfældet.,That is not always the case.,3.678000000000001,-0.375,1.6515000000000004
9519,Man skal gå hurtigere frem.,We must move faster.,2.735999999999997,0.5874999999999986,1.6617499999999978
1122,De er nærmest stadig i træning.,"They are still in training, as it were.",1.9800000000000004,1.4100000000000001,1.6950000000000003
2572,"Jeg mener, at de har krav på solidaritet.",I say they have a right to solidarity.,2.5874999999999986,0.8212499999999991,1.7043749999999989
8657,De skal hver gang fordeles på ny.,It has to be redistributed time and again.,0.23714285714285666,3.1762499999999996,1.7066964285714281
208,Lad mig lige nævne et sidste punkt.,I would like to mention one final point.,1.5828571428571436,1.9987500000000011,1.7908035714285724
2939,Nu til den tekniske del.,Now to the technical aspect.,-0.08999999999999986,3.678000000000001,1.7940000000000005
8982,Det vil jeg personligt stå inde for.,I am making a personal commitment to do so.,2.2557142857142836,1.3866666666666667,1.8211904761904751
5804,"Ja, hr. formand, det er korrekt.",". Yes, Mr President, that is true.",2.7650000000000006,0.9100000000000001,1.8375000000000004
5590,Det gælder os alle og ikke kun Østrig.,"We are talking about us, not Austria.",0.8212499999999991,2.9285714285714306,1.8749107142857149
8093,"Tak, hr. Davies.","Thank you, Mr Davies.",2.0500000000000007,1.7650000000000006,1.9075000000000006
8102,"Tak, hr. Murphy.","Thank you, Mr Murphy.",2.0500000000000007,1.7650000000000006,1.9075000000000006
2463,"Jeg slutter, nu vil jeg ikke udbrede mig mere.",I will end now. I will not expand further.,2.956666666666667,0.8633333333333333,1.9100000000000001
9996,"Det er noget, vi må værne imod.",That is something we must guard against.,-1.1085714285714268,4.947142857142854,1.9192857142857136
5678,"For hvad er det, der knytter os sammen i Europa?",Because what is it that unites us in Europe?,1.939,1.9100000000000001,1.9245
8126,"Nu er det februar, og der er stadig ingen kanal.",It is now February and we are still waiting.,1.939,1.9100000000000001,1.9245
2063,Hvorfor ikke?,Why not?,7.829999999999998,-3.9450000000000003,1.942499999999999
4826,For vores vedkommende vil det stå der.,"As far as we are concerned, they will be.",3.6014285714285705,0.33999999999999986,1.9707142857142852
7527,For det første: Hvem skal betale?,First of all: who should pay?,3.5500000000000007,0.41000000000000014,1.9800000000000004
3221,"Jeg synes, at svaret er kort og tydeligt.",I think that the answer is brief and clear.,2.5874999999999986,1.3866666666666667,1.9870833333333326
4668,Jeg vil kort fremhæve tre ting.,I would like to make three brief points.,1.9800000000000004,1.9987500000000011,1.9893750000000008
955,Vi har en meget spændende debat foran os.,We have a quite exciting debate in front of us.,2.5874999999999986,1.468,2.0277499999999993
5888,"Jeg mener, at vi kan lære noget af dette.",I believe we can learn something from this.,0.33999999999999986,3.7650000000000006,2.0525
2415,De vil have nogle svar.,They want answers.,-1.032,5.189999999999998,2.078999999999999
3827,Nu synes der at ligge mere alvor bag.,It now appears that this desire is more serious.,0.2325000000000017,4.003333333333334,2.117916666666668
95,Nu vil jeg gerne sige noget til selve sagen.,I should now like to comment on the issue itself.,1.9100000000000001,2.41,2.16
9744,Hverken mere eller mindre.,Not a euro more or a euro less.,7.6525,-3.3000000000000007,2.1762499999999996
5606,"Men det er ikke det, der er problemet.","However, that is not the problem.",0.8212499999999991,3.5500000000000007,2.185625
7490,"Jeg tror, at vi har forelagt et godt forslag.",I think we have tabled a sound proposal.,2.43333333333333,1.9987500000000011,2.2160416666666656
2418,Hvem giver os en ny arbejdsplads?,Who will provide us with new jobs?,3.5500000000000007,0.9100000000000001,2.2300000000000004
220,Jeg vil kun komme med få bemærkninger.,I should like to make just a few comments.,3.6014285714285705,0.8633333333333333,2.232380952380952
2568,"Kære kolleger, det er forkert!",This is wrong!,5.562000000000001,-1.0899999999999999,2.2360000000000007
7105,Jeg kan kun advare Dem imod at stemme for det.,I can only warn you against consenting to this.,0.9969999999999999,3.4800000000000004,2.2385
7398,Det kan jeg ikke acceptere.,I cannot accept that.,2.735999999999997,1.7650000000000006,2.250499999999999
2277,Det kan jeg ikke acceptere.,I cannot accept this.,2.735999999999997,1.7650000000000006,2.250499999999999
5633,Derfor må vi reagere.,Our response must be rapid.,1.7650000000000006,2.735999999999997,2.250499999999999
7699,Læg vel mærke til det!,People must realise this!,-1.9740000000000002,6.475000000000001,2.2505000000000006
9111,De har vores fulde støtte!,They have our full support.,1.7940000000000005,2.735999999999997,2.264999999999999
6586,Dette er ikke vores holdning.,This is not our opinion.,4.620000000000001,-0.08999999999999986,2.2650000000000006
5502,Men det vidste vi godt.,"However, we already knew this.",-1.032,5.562000000000001,2.2650000000000006
3896,Vi bør se det i det rette perspektiv.,We should get it into perspective.,0.2325000000000017,4.334999999999997,2.2837499999999995
1062,Vil dette faktum optage os på et tidspunkt?,When will we debate that?,3.7650000000000006,0.8520000000000003,2.3085000000000004
3191,"Er der nogen, der har fundet arbejde?",Did anyone find work?,2.9285714285714306,1.7650000000000006,2.3467857142857156
9423,Hvad forlanger vi af en ledelse?,What do we expect from a government in any case?,2.7650000000000006,1.939,2.3520000000000003
8228,Det er da absurd.,That is absolutely absurd.,-2.9450000000000003,7.6525,2.35375
7379,Det kan vi ikke acceptere.,We cannot accept this.,1.7940000000000005,2.942499999999999,2.3682499999999997
2956,Jeg har ikke de samme bekymringer.,I do not have these concerns.,4.334999999999997,0.41000000000000014,2.3724999999999987
202,"Kort sagt, det er meget vigtigt.","In short, the issue is an important one.",2.7650000000000006,1.9987500000000011,2.381875000000001
8947,Jeg er helt enig heri.,I agree completely.,-1.9740000000000002,6.760000000000002,2.3930000000000007
8964,Det var alt for den første bemærkning.,So much for the first comment.,3.6014285714285705,1.1950000000000003,2.3982142857142854
9018,Denne holdning kan jeg kun dele fuldt ud.,I can only fully share your concern.,2.5874999999999986,2.2557142857142836,2.421607142857141
1603,Problemet er dog hvert år det samme.,"Yet, every year we have the same problem.",2.2557142857142836,2.5874999999999986,2.421607142857141
9690,EU må ikke blive en union med mandligt ansigt.,The EU must not take on a masculine persona.,2.956666666666667,1.9100000000000001,2.4333333333333336
2799,De er uklar på dette punkt i Deres hvidbog.,You are unclear about this in your White Paper.,1.3866666666666667,3.4800000000000004,2.4333333333333336
9482,Det gælder ikke kun for Østrig.,That does not apply to Austria alone.,1.9800000000000004,2.9285714285714306,2.4542857142857155
6708,"F.eks. ændringsforslag 1, 2 og 4.","For example, Amendments Nos 1, 2 and 4.",3.5500000000000007,1.4100000000000001,2.4800000000000004
2389,RINA er i øjeblikket i miskredit.,RINA is currently the talk of the town.,3.5500000000000007,1.4100000000000001,2.4800000000000004
750,Dette er kvalitet.,So much for the quality.,5.189999999999998,-0.08999999999999986,2.549999999999999
6028,Jeg har et sidste spørgsmål.,There is one final issue I would like to raise.,3.678000000000001,1.468,2.5730000000000004
1388,Ingen diskussion om det.,This is not in question.,5.297499999999999,-0.08999999999999986,2.60375
9882,Det bør være en af vores vigtigste prioriteter.,This is a key priority for us to focus on.,6.120000000000001,-0.8870000000000005,2.6165000000000003
6888,Sådan er det desværre. Det må vi konstatere.,Sadly that is the case and we must face facts.,4.353750000000002,0.9969999999999999,2.6753750000000007
611,"Jeg mener, at det modsatte er tilfældet.",I find the opposite the case.,4.947142857142854,0.41000000000000014,2.678571428571427
3424,Som eksempel herpå nævner jeg Gaza.,I would quote Gaza as an example.,5.120000000000001,0.23714285714285666,2.678571428571429
3735,Kan det være rigtigt?,Is this possible?,1.7650000000000006,3.620000000000001,2.692500000000001
9082,"Napolitano, De skal have tak.",Thank you.,4.620000000000001,0.7650000000000006,2.692500000000001
