Nu er der brug for handling.|||What is now needed is action.
Det er dog helt klart, at disse støtteordninger bør kontrolleres, og det er en opgave, der påhviler Europa-Kommissionen.|||Clearly though, it must be monitored, a task which falls to the European Commission.
Det ville være en god idé, hvis Kommissionen udsender en fortegnelse, der opgør de beløb, hver enkelt medlemsstat yder i støtte.|||I think it would be a good idea if the Commission published a register specifying the amount of state aid per Member State.
De sagde, at RINA er et italiensk klassifikationsregister, der er kendt af Kommissionen.|||You told us that RINA was an Italian classification register recognised by the Commission.
Denne forpligtelse overholdes ikke, hverken i Frankrig eller i mange andre europæiske lande.|||This obligation is not respected either in France or in many other European countries.
Jeg kunne opremse en liste over de katastrofer, der har ramt dette erhverv gennem mine 10 år i Parlamentet, men jeg har kun tre minutter.|||I could reel off the list of disasters that have afflicted this industry in my 10 years in this Parliament but I only have three minutes.
Tanken om en ulykke af denne slags i nærmeste fremtid bør få både hende selv og embedsmændene til at koncentrere sig.|||The thought of an incident of this kind occurring in the near future should concentrate her mind and the minds of her officials wonderfully.
Hvilke garantier eksisterer der for pålidelighed?|||What guarantees are there of its reliability?
Hvor meget forurening skal vi igennem, før industrien giver os tankskibe med adskilte tanke og dobbelt skrog?|||How much more pollution do we have to endure before the industry delivers us tankers with segregated tanks and double holds?
Beslutningsforslagenes tid er forbi.|||The time for resolutions has passed.
De billeder, mange af os har set, af fugle indsølet i olie, der bliver aflivet af dyrlæger, var både foruroligende og tragiske.|||The pictures many of us will have seen of oil-soaked birds being put down by veterinary officials were both distressing and tragic.
Det er også nødvendigt at styrke kontrollen med de maritime myndigheder og kontrollen i EU's havne.|||Inspections by the maritime authorities and supervision within European ports must also be tightened up.
I øvrigt sagde De, at vi især bliver nødt til at forstærke kontrollen, både med flagnationen og med klassificeringen af selskaberne.|||Moreover, as you said, monitoring must above all be stepped up: that of the flag state, that of the classification societies.
Men hvis befragteren er friholdt, går han helt sikkert mindre op i den kontrol, der påhviler olieselskaberne.|||Well, if the charterer is exonerated, then of course he is less concerned with the inspections which oil companies are responsible for.
Hvis denne forpligtes ud fra et økonomisk ansvar, vil kontrollen uden tvivl blive forstærket.|||If the charterer' s liability entails a financial commitment, then doubtless the inspection will be enforced to a greater extent.
For at opveje denne situation bør Europa-Kommissionen jævnligt sende os rapporter.|||In order to compensate for this situation, the European Commission should be obliged to make regular reports to us.
Ligesom ordføreren glæder jeg mig over Kommissionens oversigt, men jeg beklager, at den ikke dækker alle aspekter af støtten.|||Like the rapporteur, I am pleased with the Commission report, but I did deplore the fact that the report did not cover every aspect of the aid.
Og hvad angår de 18 millioner arbejdsløse i EU, tror De så, at de er ofre for en for tilbageholdende gennemførelse af denne konkurrencepolitik?|||Do you imagine that the 18 million unemployed people in Europe are victims of too reticent an application of this competition policy?
Jeg mener endvidere, det er nødvendigt at styrke kontrollen med befragteren, i dette tilfælde oliebefragteren.|||I also think it essential to step up the level of inspection that the charterer is responsible for, in this case, the oil company.
Jeg beklager også, at Europa-Parlamentet er totalt udelukket fra det rådgivende udvalg om statsstøtte.|||I also deplore the fact that the European Parliament has been totally excluded from the Advisory Committee on State Aid.
Af alle disse årsager stemmer jeg for Langen-betænkningen, og jeg forventer nu, at Kommissionen opfylder vores anmodninger og vores krav.|||For all these reasons I voted in favour of the Langen report, and I now await the Commission' s response to our requests and demands.
Europa-Kommissionen må hurtigst muligt udbedre denne mangel.|||The European Commission must make good these omissions as soon as possible.
I forhold til hvilket jernsystem og hvilke effektivitetskriterier?|||Excessive in comparison with what iron rule, what criteria of efficiency?
Den bør ligeledes samarbejde med medlemsstaterne for at forbedre kvaliteten af oplysningerne i god tid, hvilket vil sige, inden den niende oversigt udkommer.|||It must also cooperate with the Member States in order to improve the quality of data in good time, which is to say in time for the ninth report.
I de vigtige forhandlinger om konkurrencen udtalte jeg mig i morges om hr. Langens tekst om gennemførelse af den sjette regel for støtte til jern- og stålindustrien.|||In the important debate on competition this morning, I expressed my views on Mr Langen' s report on the implementation in 1998 of the sixth Steel Aid Code.
Erika-ulykken var alvorlig, navnlig for de mennesker i Bretagne, der er mest direkte berørt, og den var ødelæggende for dyrelivet i store dele af Europa.|||The "Erika" incident was serious especially for the people of Brittany most closely affected, but it was devastating for the wildlife of much of Europe.
Kun de multinationales juridiske konsulenter kan give udtryk for en sådan hårdnakkethed.|||Only the legal advisers to multinationals could demonstrate such stubbornness.
Hr. formand, jeg udtaler mig på vegne af PPE, men også som folkevalgt bretagner, direkte berørt og chokeret over disse begivenheder.|||Mr President, I shall be speaking on behalf of the PPE-DE Group, but also as an elected representative for Brittany, and I am therefore directly concerned and shocked by these events.
Først vil jeg gerne takke miljøkollegerne i min gruppe, som har beskæftiget sig med netop dette problem sammen med transportkollegerne.|||Firstly, I would like to thank the environment colleagues in my group who approached this particular problem jointly with their transport team.
Som Domstolen erkender det i sin dom af 3. maj 1996, er jern- og stålindustrien specielt følsom over for konkurrencemæssige forstyrrelser.|||Just as the Court of Justice recognised in its order of 3 May 1996, the iron and steel industry is particularly sensitive to disturbances to its competitive operation.
Det er sikkert, at en effektiv konkurrencepolitik er en forudsætning for, at det indre marked og Den Økonomiske og Monetære Union er velfungerende.|||Admittedly, an effective competition policy is a prerequisite for the proper operation of the internal market and of economic and monetary union.
Jeg er af den opfattelse, at kun en forordning fra Rådet kan garantere den krævede juridiske sikkerhed og garantere et formelt forbud imod enhver støtte, der ikke er dækket af reglerne.|||My feeling in this respect is that only a Council Regulation can provide the necessary legal certainty and ensure an official ban on any aid not covered by the code.
Dette er en mazoutkage sendt af en beboer på øen Noirmoutier, som skriver følgende til mig: "Hver gang, vi har højvande, er stranden dækket med tung olie lækket fra Erika.|||Here is a cake of oil sent by someone living on the French island of Noirmoutier who wrote to me as follows: "With every tide, the beach is covered with heavy fuel oil which has leaked out of the Erika.
Vi må have regeringerne til at øge de økonomiske ressourcer, der er nødvendige for at sikre os en effektiv kontrol, og vi må få dem til at holde op med at trække behandlingen af sikkerheden til søs i langdrag.|||We need our governments to put up the financial resources needed to give us effective control and we need them also to stop dragging their feet when it comes to maritime safety.
Hvor mange flere Erikaer skal vi igennem, før myndighederne giver os en egentlig havnestatskontrol, der er effektiv i hele Den Europæiske Union og ikke kun i nogen dele af Unionen?|||How many more Erikas do we have to endure before the powers that be deliver to us a proper port state control that is effective throughout the whole of the European Union, not just certain areas of it?
På samme tid skal man selvfølgelig sørge for på enhver måde at undgå at skade konkurrencevilkårene og enhver alvorlig forstyrrelse på markederne, og derfor er det vigtigt at fastsætte regler for denne støtte.|||At the same time, it is, of course, essential to avoid any disturbance of competition conditions or of the markets, hence the importance of regulating such aid.
I realiteten kan vi aldrig stoppe ulykker til søs, men det påhviler os alle at tage ved lære, hver gang en ulykke som denne finder sted, og på denne måde mindske risikoen for ulykker i fremtiden.|||In reality we can never stop accidents happening at sea, but it is incumbent upon us all to learn the lessons whenever an incident of this kind takes place and apply those lessons to reduce risks in future.
Dette støttebeløb er blevet væsentligt reduceret i forhold til den foregående periode 1993-1995 (en nedgang i det samlede beløb på 13% og fra 3,8% til 2,6% i beløbet til sektoren for fremstillingsvirksomhed).|||This aid is considerably less than the previous period, 1993-1995 (a 13% drop in the total amount and a drop from 3.8% to 2.6% in the amount of aid to the manufacturing sector).
Endelig er det nødvendigt med en koordination af de maritime myndigheder for at nå frem til en form for EU-bestemmelse på linje med de kystvagter, der overvåger USA's kyster.|||Finally, we need some coordination of national maritime authorities in order to achieve some sort of European facility comparable to the coastguards who supervise the coasts of the United States.
Jeg er enig i alt det, kommissæren var inde på i sine bemærkninger, men spørgsmålet er, hvor længe det vil tage at sikre, at der indføres foranstaltninger til løsning af problemerne på den måde, hun foreslår.|||I agree with every word the Commissioner said in her remarks, but the question is, how long will it take to ensure that measures are introduced to deal with the problem in the way she proposes?
Det er således nødvendigt at fortsætte med at begrænse statsstøtten til områder som forskning, udvikling og miljøbeskyttelse samt støtte i forbindelse med lukning af virksomheder.|||It is therefore essential to continue to restrict state aid to research and development, environmental protection and aid granted in the event of plant closure.
Det bliver altså nødvendigt at revurdere reglerne, og jeg takker Dem, fru kommissær, for at have fremhævet alle de nuværende utilstrækkeligheder i EU's bestemmelser.|||The regulations must therefore be reviewed, and I thank you, Commissioner, for highlighting the inadequate features of current European regulations.
I samme ånd er det absolut nødvendigt, at medlemsstaterne vedkender sig deres forpligtelse til at aflægge regnskab til Kommissionen om den støtte, de yder til deres jern- og stålvirksomheder.|||In the same way, it is vital for Member States to fulfil their obligation to report to the Commission on the aid granted to their steel undertakings, as stipulated under Article 7 of the Steel Aid Code.
Det er grunden til, at jeg ønsker, at den næste oversigt over statsstøtten indeholder en evaluering af dennes indvirkning på beskæftigelsen samt på industri- og håndværkssektorerne i de lande, der modtager støtten.|||This is why I should like to see the next report on state aid include some assessment of the effect of such aid on employment, industry and craft businesses in the beneficiary countries.
Betænkning af Langen (A5-0073/1999)|||Langen Report (A5-0073/1999)
Det er grunden til, at vi mener, vi skal revurdere de gældende lovtekster og især protokollen fra 1992, der fritager befragteren, i det foreliggende tilfælde oliebefragteren, for ethvert ansvar.|||This is why we think that the applicable legislation must be reviewed, particularly the 1992 protocol which has exempted the shipowners, in this case the oil tanker charterer, from any liability.
Hvis man stræber efter at opnå lighed, må man enten strengt overholde støttereglerne eller ændre dem, hvis Kommissionen vil tillade en anden form for støtte end den, der for øjeblikket juridisk set er tilladt.|||In the interests of equality, there are grounds to either apply the Steel Aid Code strictly or modify the Code if the Commission wishes to authorise types of aid other than those legally acceptable at the moment.
Kommissionen foreslår, at staterne indsender disse rapporter senest to måneder efter udløbet af hver halvårsperiode, og under alle omstændigheder på et årligt grundlag, uden at den behøver at minde dem om det.|||The Commission suggests that Member States submit their reports within a time limit of two months following the end of each six-month period or, at least, annually, without the need for reminders.
Min gruppe føler med beboerne i Bretagne, som har fået deres område ødelagt af denne katastrofe, på samme måde som vi følte med beboerne i det vestlige Wales og på Shetlandsøerne ved tidligere lejligheder.|||My group's sympathy goes out to the people of Brittany who have seen their area despoiled by this disaster, just as my group's sympathy went out to the people of West Wales and to the Shetland Islands on previous occasions.
Den støtte, Unionens medlemslande hvert år afsætter til udvalgte sektorer, udgjorde et samlet beløb på 95 milliarder euro i perioden 1995-1997, heraf 40% til sektoren for fremstillingsvirksomhed.|||The aid which Union Member States allocate each year to the sectors under consideration reached a total of EUR 95 billion in the period 1995-1997, including 40% allocated to the manufacturing sector.
Hvor mange flere havfugle skal dø, før rederierne standser deres praksis med at rense tankene til søs, hvilket medfører langt mere forurening end katastrofer af Erika-typen, således som vi påpeger i beslutningsforslaget?|||How many more seabirds are to die before shipping companies end the practice of cleaning their tanks at sea which, as our resolution points out, causes far more pollution than any Erika-type disaster?
Jeg skal minde om, at der findes et Paris-memorandum, der indebærer et minimum af kontrol. En fjerdedel af de både, der søger til en europæisk havn, skal kontrolleres af det pågældende lands maritime myndigheder.|||There is a Paris Memorandum in existence, let me remind you, which stipulates a minimum for inspection, that is, one in four of the vessels putting into European ports must be inspected by the maritime authorities of the country concerned.
Selvom reglerne for støtte til jern- og stålindustrien er ganske klart formulerede, har Kommissionen adskillige gange givet tilladelse til at bevilge støtte til virksomheder i jern- og stålindustrien, der ikke hører ind under de kategorier, der er angivet i reglerne.|||Although the Steel Aid Code is expressed in a very clear way, the Commission has, on a number of occasions, authorised aid for the steel industry even though such aid did not fall within the categories set out in the code.
Det er grunden til, at det var legitimt at indføre en støtteordning for denne sektor med det formål at garantere overlevelsen for de velfungerende virksomheder, selvom EKSF-traktatens artikel 4, stk. c, forbyder enhver statsstøtte til jern- og stålindustrien.|||Establishing a system of aids to this sector intended to ensure the survival of successful firms was therefore justifiable, even though Article 4(c), of the ECSC Treaty prohibited any sort of state aid to the steel industry.
Betænkning af Jonckheer (A5-0087/1999)|||Jonckheer Report (A5-0087/1999)
Vi er nødt til at håndhæve bestemmelserne og sikre, at "forureneren betaler"princippet anvendes, så økonomiske sanktioner og forskellige incitamenter anvendes til at lægge pres på både rederne og olieselskaberne for at sikre, at den bedste praksis indføres.|||We need to enforce the regulations and ensure that the "polluter pays" principle is applied so that financial penalties and some incentives are used to put pressure on both ship operators and oil companies to ensure that best practice is introduced.
Jeg glæder mig over kvaliteten i den syvende oversigt over statsstøtte i EU, der fra nu af udsendes årligt, og over at Generaldirektoratet for Konkurrence på sin hjemmeside udsender generelle og specifikke informationer til gavn for offentligheden.|||I am pleased to see the quality of the seventh report on state aid within the EU, and to see that it will henceforth be an annual report, and also that the Directorate-General for Competition will be making information, both general and specific, publicly accessible via its website.
Jeg vil slutte med et aspekt af anvendelsen, som jeg finder specielt farligt. Det drejer sig om statsstøtte, der fører frem til flytning af virksomheder fra en medlemsstat til en anden, med risiko for en jagt på tilskud, der ikke yder noget som helst til EU's fælles mål.|||I shall conclude with one aspect of the use of state aid which I feel is particularly dangerous: the matter of aid resulting in businesses relocating from one Member State to another, with the risk of subsidy hunting which makes no contribution to the shared objectives of the EU.
Selvom jeg erkender, at der er sket visse fremskridt på områder som havnestatskontrol og minimumsstandarder for bemanding, står vi stadig over for det, som vores afdøde kollega Ken Stewart plejede at kalde "skammens skibe, der sejler ind og ud af Den Europæiske Unions farvande: underbemandede, rustne spande".|||While I recognise that some progress has been made in areas like port state control and minimal crewing standards, we are still faced with what our late colleague Ken Stewart used to call 'ships of shame sailing in and out of our European Union waters: rust buckets badly crewed'.
I øvrigt er en sådan støtte, som ordføreren understreger det, undertiden uomgængelig og kan ud over at sikre overlevelsen for den ene eller den anden virksomhed bidrage til en bæredygtig udvikling (traktatens artikel 6), til serviceområder af generel interesse (artikel 16) og til økonomisk og social samhørighed (artikel 158).|||However, as the rapporteur pointed out, such aid is occasionally essential and may, in addition to enabling the survival of a specific firm, make it possible to contribute to sustainable development (Article 6 of the Treaty), services of general economic interest (Article 16) and economic and social cohesion (Article 158).
Som politiker skal hun minde sine embedsmænd om, hvor svært det vil være for hende at skulle tilbage til Parlamentet om et år, hvis der skulle ske en lige så ødelæggende ulykke, hvis nogle af de foranstaltninger, hun har foreslået i dag, forbliver smukke ord, og hun ikke har haft mulighed for at omsætte dem i praksis.|||As a politician she needs to remind her officials how difficult it would be were she to have to come back to this Parliament in a year, were a similar incident, just as devastating, to take place, if some of the measures she has proposed today were simply still remaining as fine words and she had not had the chance to put them into practice.
Nu er det helt klart på tide, at ikke kun medlemsstaterne, men også den tandløse tiger, der lyder navnet Den Internationale Søfartsorganisation, og sidst, men ikke mindst olieselskaberne og tankskibsrederne lever op til deres ansvar og skrider ind for at stoppe disse tragedier for miljø og mennesker, så de ikke skal gentage sig år efter år.|||Surely it is now about time that not only the Member States but that toothless tiger that is known as the International Maritime Organisation, and last but not least, the oil companies and tanker owners take on their responsibilities by acting to stop these ecological and human tragedies repeating themselves year after year.
Erikas forlis er faktisk en EU-sag, dels fordi den skamferer og tilsviner nogle af de smukkeste strande i EU med meget alvorlige konsekvenser for turismen, for dem, der lever af havet, og dem, der forsvarer miljøet, dels fordi det, der står på spil, er regler og kontrol, hvor den naturlige dimension helt klart er EU.|||The Erika shipwreck is a truly European issue, firstly because it is disfiguring and polluting some of the most beautiful beaches in Europe, with extremely serious consequences for tourism, people who earn their living from the sea and environmentalists, and also because the underlying issue is the regulation and monitoring which ought naturally to be on a European scale.
Er det ikke på tide, at vi holder op med at udsende medfølelse og i stedet begynder at udsende håndhævelsesnotater for at slippe af med disse skammens skibe og i stedet for sikre havene, eller skal vil til det igen senere i år, drøfte et nyt beslutningsforslag, når endnu et tankskib under bekvemmelighedsflag går ned og udgyder sin råolie over hele havet?|||Is it not about time that we stopped expressing sympathy and started issuing enforcement notices to get rid of these ships of shame in favour of safe seas or we will be back again, later on this year, discussing a new motion for a resolution when yet another flag-of-convenience tanker sadly goes down spewing its crude oil all over the sea.
Hvorfor ikke? Fordi USA har lært lektien fra Exxon Valdez-katastrofen, og landet udarbejdede i 1990 The Oil Pollution Act, der på én gang både er mere ansvarlig, fordi den kan drage befragteren til ansvar, mere bindende og frem for alt mere kontrolleret på grund af forskellige regelsæt og især på grund af USA's kystvagtkorps.|||Because the Americans managed to learn their lesson from the Exxon Valdez disaster and in 1990 to draw up the Oil Pollution Act, which makes the parties concerned aware of their responsibilities, as it makes it possible to hold the charterer liable, and is more restrictive, and, more especially, more carefully monitored thanks to various regulations and, in particular, the existence of the American coastguard.
