Vil dette faktum optage os på et tidspunkt?|||When will we debate that?
I dag findes der ingen fælles regler på det område, og vi opfordrer kraftigt Kommissionen til at sørge for harmonisering af reglerne om tilbagebetaling.|||At present, there are no common rules in this area, and we vigorously urge the Commission to make a point of harmonising the rules on repayment.
De har mistet positioner og meget store andele på verdensmarkedet og hundredtusinder af arbejdspladser.|||They have lost their status, and a significant slice of the world market and hundreds of thousands of workers have been made redundant.
At ville redde 60.000 arbejdspladser er åbenbart en synd imod markedet, men at redde kapital synes ikke at være et problem hos fortalerne for det fri marked.|||Wishing to save 60 000 jobs is, apparently, a sin against the market, but saving capital does not seem to present any problem for the advocates of the free market.
Dette forekommer os at være relativt farligt, men vi stemmer ikke desto mindre for betænkningen, idet vi erkender, at Kommissionen ikke kan gøre alting.|||We feel this is relatively dangerous, but all the same we shall vote in favour of it because we recognise that the Commission cannot do everything.
Vores svar er altså et helt klart ja. Det er legitimt at yde støtte og at have aftaler, men vi siger, at hver eneste af disse aftaler skal være helt klart begrundet.|||So our clear response is that, yes, such aid and such agreements are legitimate, but we say that every single one of these agreements must be expressly justified.
Von Wogau-betænkningen foreslår at flytte kontrollen med denne legitimitet over i nationalt regi.|||The von Wogau report proposes referring supervision of the legitimacy of individual cases to national level.
I princippet er kun horisontal regulering acceptabel, fordi den ikke, eller kun i ringe grad, griber ind i konkurrencen.|||In principle, only horizontal regulations are permissible because they do not distort, or hardly distort, competition.
Jeg vil gerne benytte lejligheden her til at sige tak til mine kolleger i udvalget for deres opbakning til Den Liberale Gruppes forslag.|||I should like to take this opportunity to thank my colleagues on the committee for supporting the amendments tabled by the Group of the European Liberal, Democrat and Reform Party.
Vi socialdemokrater afviser denne englerene liberalisme.|||We Socialists reject the liberals' naïve optimism on this point.
Dem, kommissær Monti, vil jeg takke for et fremragende samarbejde, og jeg vil sige til Dem, at De her ved årtusindskiftet har en særdeles vigtig funktion.|||I want to thank you, Commissioner Monti, for your outstanding cooperation and I want to tell you that, as we enter the new millennium, you have an especially important role.
Kommissionens hvidbog om reform af konkurrencepolitikken ligner mere et debatoplæg.|||The Commission' s White Paper on modernising competition policy seems more like a discussion paper.
Men på samme tid er det uforståeligt, for dårlig virksomhedsledelse og arbejdspladser, der ikke er levedygtige, bør ikke støttes med skatteydernes penge.|||But, at the same time, this is not understandable because bad management and non-viable jobs should not be funded by taxpayers' money.
Afslutningsvis vil jeg hilse Kommissionens XXVIII. konkurrenceberetning velkommen, der er endnu en gang blevet leveret et godt stykke arbejde.|||To conclude, I want to welcome the Commission' s XVIIIth Report on Competition Policy, on which, once again, a good deal of work has been done.
Endelig bør støtte gøre det muligt at foretage omstruktureringer, tilbyde uddannelse, redde arbejdspladser og dermed knowhow.|||Finally, aid can enable restructuring, offer training, save jobs and thus know-how.
På markedet er styrkeforholdet mellem udbud og efterspørgsel generelt til skade for de svageste, forbrugerne og arbejdstagerne.|||On the market, the balance of power between supply and demand are generally to the detriment of the weakest parties, consumers and workers.
Ændringsforslag 1 og 5 påpeger fænomenet markedssvigt, for markedsmekanismerne alene fører ikke til det ideelle samfund.|||Amendments Nos 1 and 5 make reference to the phenomenon of market failure because the market instrument in itself does not result in the ideal society.
The World Wide Web, der har muliggjort den eksplosive udvikling af informationssamfundet, er blevet udviklet af CERN i Genève, også med offentlig støtte.|||The World Wide Web, which has enabled the meteoric development of the information society, was developed by CERN in Geneva, once again with public aid.
Vi må rette støtten ind efter Unionens mål, især den økonomiske og sociale samhørighed, en bæredygtig udvikling og forskningen.|||This aid must be aligned with the objectives of the Union, particularly economic and social cohesion, sustainable development and research.
Nationalstaterne bliver dermed Kommissionens verdslige magt i arbejdet med at overholde gennemførelsen af regler, de ikke selv er herrer over.|||National states would thus become the secular arm of the Commission regarding observance of the application of rules which they do not control.
Mens ØMU-kriterierne tvinger medlemslandene til at begrænse deres udgifter, er det høje niveau for offentlig støtte til erhvervslivet indtil nu blevet opretholdt.|||Whilst the EMU criteria are forcing Member States to curb expenditure, the high level of state aid to industry has so far remained in place.
Den tyske regerings indgreb for at redde Holzmann-gruppen er blevet kritiseret for at være en ubegrundet hindring for markedsøkonomien.|||The German Government' s intervention to save the Holzmann group was criticised as an unjustifiable constraint upon the market economy.
Formanden, hr. Duisenberg, har endda forsøgt at give dette statsindgreb skylden for euroens svaghed over for dollaren, der i øvrigt er relativ.|||President Duisenberg even attempted to attribute the weakness, the entirely relative weakness of the euro in relation to the dollar to this state interventionism.
Endelig foreslår vi, at vi laver dels et register, som flere af mine kolleger har været inde på, men også en resultattavle, der viser, hvor landene står i dag med hensyn til statsstøtte.|||Finally, we propose keeping both a register, as mentioned by a number of my fellow MEPs, and also a scoreboard showing where the Member States at present stand with regard to state aid.
Når det er sagt, er det at regere, at være forudseende, også at være ansvarlig, og i denne nye påtvungne sammenhæng spiller konkurrenceretten naturligvis en afgørende rolle.|||Having said that, governing means planning. It also means being responsible and, in this new context which has been forced upon us, competition law naturally has an essential role to play.
Det er i dag stadig den statslige indblanding i økonomien, der påfører markedet, konkurrencen og de europæiske forbrugeres valgfrihed de største skader.|||State interference in the economy is, even today, still to blame for the most serious hindrances placed in the way of the market, competition and freedom of choice for European users and consumers.
Endelig, hvad angår en moderniseret anvendelse af traktatens artikel 85 og 86, mener vi ikke, at en decentraliseret anvendelse nødvendigvis går i den rigtige retning.|||Finally, on the subject of modernising the implementation of Articles 85 and 86 of the Treaty, we do not think that decentralised application would necessarily be going in the right direction.
Det er forståeligt, for det medlemsland, der begynder at afvikle den offentlige støtte, løber den største risiko for, at virksomheder flytter andetsteds hen, med de negative følger, det har for beskæftigelsen.|||This is understandable, because it is highly likely that Member States which start to cut back on state aid will cause companies to leave, with adverse effects on employment.
De skal feje op efter de nationale regeringer, som jo har store visioner på konkurrencepolitikkens område, men kun fantasien sætter grænser for, hvilke ulykker de nationale regeringer kan afstedkomme.|||It is your job to tidy up the mess left by national governments. These may well have grand visions when it comes to competition policy, but their capacity to wreak havoc seems boundless.
Jeg kan her nævne de seneste eksempler, vi har set: Holzmann, en virksomhed, som får stor støtte fra den tyske regering, savværker i det tidligere Østtyskland og ikke mindst støtten til skibsværfter.|||Let me mention the latest examples we have seen: Holzmann, a company which receives considerable aid from the German Government; sawmills in former East Germany; and, especially, aid to shipyards.
EU og medlemsstaterne bør ikke optræde som økonomiske aktører, men de offentlige myndigheder bør fastsætte regler og mål, der muliggør en bæredygtig udvikling af økonomien.|||The European Union or individual States must not take over from economic operators, but public authorities must define the rules and objectives which enable the economy to develop in a sustainable fashion.
Det er klart, at vi som liberale og grønne har forskellige holdninger til, hvordan verden skal se ud, men i vores målsætning er vi langt hen ad vejen enige, og vi vil forsøge at finde en fornuftig løsning på vores problemer.|||As Liberals and Greens, we clearly have different opinions on how the world should look, but we are well on the way to agreement as to our objectives, and we shall try to find reasonable solutions to our problems.
Hr. formand, hr. kommissær, i løbet af dette overgangsår, før vi går over til enhedsvalutaen, har Kommissionen udfoldet alle mulige bestræbelser på, at euroen kunne blive født i et gunstigt miljø.|||Mr President, Commissioner, in the course of this pivotal year, prior to the changeover to the single currency, the Commission has deployed every effort to ensure the birth of the euro in a favourable environment.
Er statsstøtte til virksomhederne eller aftaler mellem virksomheder legitime i en markedsøkonomi, og hvem skal kontrollere disse undtagelser fra de absolutte regler for markedsøkonomien?|||Are state aid to business or inter-company agreements legitimate in a market economy, and who must supervise these exceptions to the absolute rules of the market economy?
Poos sige, at jeg er meget enig med hr. Duisenberg i, at det er eksempler på, at nogle af de europæiske medlemslande ikke er i stand til at omstrukturere deres økonomier, og dermed er de med til at underminere euroens værdi.|||I want to say to Mr Poos that I very much agree with Mr Duisenberg that these examples show that some EU Member States are not in a position to restructure their economies and, to that extent, are helping to undermine the value of the euro.
Vi beder om, at der bliver anvendt den størst mulige gennemsigtighed, og at Kommissionen får udvidede beføjelser til at foretage undersøgelser for efterfølgende at kontrollere legitimiteten af disse undtagelser.|||We demand that the greatest possible transparency should be in place and that greater powers of investigation be granted to the Commission in order to check the legitimacy of such exceptions after the fact.
Vi for vores part er stadig stærkt imod enhedsvalutaen, der langt fra at give os fordelene og smidigheden ved at have en fælles valuta i stedet lukker os inde i en kunstig tvangssituation, der pålægges EU's befolkninger.|||For our part, we remain staunchly opposed to the single currency which, far from bringing us the advantages and flexibility of a shared currency, imprisons us in an artificial straitjacket, which has been imposed on the peoples of Europe.
Ikke alene bevarer Kommissionen retten til at friholde en sag fra den nationale kompetence, men de nationale domstole er også klart forpligtede til at undgå enhver konflikt med Kommissionens beslutninger.|||The Commission is, in fact, retaining not only the power to take matters out of the jurisdiction of national authorities, but clearly obliging the national jurisdictions to avoid disputing the decisions of the Commission at all.
Der er stadig behov for en opstramning af de nævnte områder, og der er derfor god grund til at fortsætte med at arbejde målrettet med at få løst problemerne vedrørende den manglende gennemsigtighed og åbenhed på statsstøtteområdet.|||There is still a need to tighten up in the areas mentioned, and there is therefore good reason for continuing to work resolutely towards solving the problems concerning the lack of transparency and openness in the area of state aid.
Jeg mener i den henseende, at vi skal støtte os til von Eiecks værker og naturligvis også til de værker, som en stor italiensk liberalist som Bruno Leoni har skrevet. Han advarede netop mod risikoen ved en abnorm forøgelse af konkurrencebegrænsende politikker.|||In this respect, we should heed the words of von Eieck, and doubtless also those of the great Italian liberal Bruno Leoni, who warned precisely against the risks of an abnormal increase in anti-competition policies.
Alligevel insisterer vi på en yderligere svækkelse af det offentlige område og er parat til at skærpe konkurrencepolitikken endnu mere, idet vi anser selv statsbestillinger hos virksomheder af offentlig karakter for statsstøtte.|||And yet, we keep on weakening the public sector and we are ready and willing to tighten competition policy yet further by qualifying public procurement contracts placed with public-sector corporations as state aid.
Idéen om decentralisering for at lette arbejdspresset i Generaldirektoratet for Konkurrence virker sympatisk, men den måde, Kommissionen vil udforme den på, fører til, at den dømmende magt bliver overbelastet.|||The plea in favour of decentralisation in order to lighten the load within the Directorate-General on Competition is a kind gesture, but the way in which the Commission would like to carry this through would lead to the judiciary being stretched.
Den skandaløse magtkoncentration på strategisk vigtige områder lægger alle EU-landenes og medlemmernes økonomi i hænderne på multinationale spekulationskoncerner.|||The scandalous concentration of power in sectors of strategic importance is giving speculative multinational groups economies the size of entire states, and Member States of the Union at that.
Det, som kendetegner virkeligheden i dag, er gennemførelsen af gigantiske fusioner, sammenlægninger og opkøb af meget store virksomheder af monopolagtig karakter samt skabelsen af koncerner med skræmmende styrke på verdensplan.|||The overriding features of today' s economy are massive mergers and acquisitions involving huge companies with a market monopoly and the emergence of frighteningly powerful multinational groups.
Det er ligeledes legitimt, at der kan forekomme aftaler mellem virksomheder, aftaler af selvbegrænsende art, og aftaleformer, der gør det muligt at mindske de skadelige virkninger fra konkurrencen på de sociale og økologiske krav.|||It is also legitimate for there to be inter-company agreements and voluntary restraint agreements, since all these agreements make it possible to reduce the detrimental effects of competition on social or ecological requirements.
Som konklusion vil jeg sige, at selvom visse foranstaltninger går i den rigtige retning, forbliver vi naturligvis årvågne for at undgå en føderalistisk kædereaktion, der ville være til skade for Europa og staternes suverænitet.|||In conclusion, I would say that while some measures are heading in the right direction, we shall of course remain vigilant in order to prevent the snowballing of Federalism which, if it were realised, would be to the detriment of Europe and the sovereignty of the states.
Specifikke grene af den europæiske industri såsom skibsbygnings- og skibsreparationsindustrien, lufttransport og stålindustrien er blevet ramt af den førte konkurrencepolitik, hvilket har givet kolossale følger.|||Certain sectors of European industry, such as the shipbuilding industry, air transport and the steel industry, which have been hard hit by existing competition policy, have suffered tremendously.
Hvilken konkurrencepolitik kan kontrollere disse monopolvirksomheders aktiviteter?|||We need a competition policy which can and will introduce controls on the activities of these private-sector monopolies.
Hr. formand, hr. kommissær, ærede kolleger, vi kan i det store og hele tilslutte os synspunkterne i Kommissionens hvidbog om konkurrence, navnlig når det gælder afskaffelsen af anmeldelses- og godkendelsessystemet, men der er også et par ting - eller rettere flere ting - som vi undrer os lidt over.|||Mr President, Commissioner, we have a basically positive view of the Commission' s White Paper on competition, particularly as regards the abolition of the system of notification and authorisation, but we are also puzzled by several things.
Hr. kommissær, jeg er udmærket klar over, hvad der står i traktaten, men jeg tror, at det også ved denne lejlighed er vigtigt at slå fast, at den europæiske økonomi har svært ved at klare sig i konkurrencen med den amerikanske, også - og ikke mindst - på grund af mangelen på muligheder og konkurrence.|||Commissioner, I am quite familiar with the constraints imposed by the Treaties, but I believe that, it must be emphasised once again that the European economy is finding it hard to compete with the American economy, especially because of insufficiently open markets and a lack of genuine competition.
Vores forslag vedrører som sagt gennemsigtigheden, og jeg vil gerne fremhæve det ændringsforslag, som opfordrer Kommissionen til at fremkomme med ensartede kriterier og vilkår for den type statsstøtte, som vi anser for at være lovlig, netop for at sikre, at virksomhederne kan forudsige deres situation.|||As I say, our amendments concern transparency, and I should like to emphasise the amendment which urges the Commission to propose uniform criteria and conditions for the type of state aids we consider to be lawful, specifically in order to ensure that companies can predict what their situation will be.
Til det første punkt siger vi helt klart, at det for at tage højde for kravene til en bæredygtig udvikling, som EU går ind for, er helt uomgængeligt, at der i visse tilfælde ydes statsstøtte til virksomheder, hvad enten dette sker i form af skattelettelser, en differentieret skat eller direkte støtte.|||Regarding the first point, we say quite clearly that, in order to take into consideration the requirements of sustainable development which the European Union has endorsed, it is essential that, in some instances, there is state aid to businesses, be it in the form of tax exemptions, special taxation or even direct aid.
Hvad angår statsstøtten, er det vigtigt at holde øje med, at apparatet ikke bliver for tungt, og det forekommer os, at indførelsen i et offentligt register, hvor samtlige støtteformer opføres, ikke er hensigtsmæssig, idet denne tunge forpligtelse helt naturligt ville gå imod forsøgene på at lette de bureaukratiske hindringer.|||As regards state aid, it is essential to ensure that regulations are not made more complex, and the introduction of a public register, where all aid would be recorded, does not seem advisable to us since this onerous commitment would quite naturally run counter to the attempts to simplify bureaucratic constraints.
Ikke mindst er det nødvendigt i forhold til den kommende udvidelse, og jeg vil gerne sige tak til hr. Jonckheer, der i sin betænkning meget grundigt behandler problemerne i forbindelse med udvidelsen og med, hvordan vi sikrer, at disse lande kan leve op til vores krav, men også hvordan vi sikrer lige konkurrencevilkår.|||This is especially necessary in relation to the forthcoming enlargement of the Union, and I should like to thank Mr Jonckheer who, in his report, has considered very thoroughly the problems associated with enlargement and with ensuring that the applicant countries are able to meet our criteria, as well as with ensuring common conditions of competition.
Forbrugerne ser deres levestandard blive forringet, fattigdom blive almindelig og det offentlige og produktionsgrundlaget i de fleste EU-lande falde fra hinanden og gå i opløsning i den rene og ødelæggende konkurrences navn, i den absolutte markedsøkonomis og i fremme af storkapitalens monopolistiske interessers navn.|||Consumers see their standard of living being eroded, poverty spreading and the public sector and production base in most countries in the Union being dismantled and dissolved in the name of unadulterated and catastrophic competition, in the name of the absolute market economy and the promotion of the monopolistic interests of big business.
Kommissionen har på dette område foretrukket forskellige handlingsformer: at påvirke markedsstrukturerne ved at gennemføre en aktiv antikonkurrencebetonet praksis, igen at fokusere sine tjenestegrenes kontrolfunktioner netop på de områder, der udviser en klar fællesskabsinteresse, og at markere sin vilje til at modernisere konkurrenceretten.|||In this area, the Commission has given priority to a number of routes of action: acting on the structure of markets by actively combating anti-competitive practices, by refocusing its departments' supervisory activities only upon matters with a manifest Community interest and by affirming its intention to modernise competition law.
Der kan nævnes statsstøtten til virksomhederne, som vi allerede har talt om, statens fortsat kraftige tilstedeværelse i det økonomiske liv - tænk bare på, at det italienske finansministerium kontrollerer 15% af kapitaliseringen på børsen - og de hindringer, som regeringer og centralbanker lægger i vejen for fusioner og virksomhedsovertagelser. Man har i de sidste uger talt meget om Vodafone-Mannesmann-sagen og om redningen af Holzmann.|||There is State aid for businesses - we have already discussed this, there is still a strong public presence in the economy - it is estimated that the Italian Treasury controls 15% of stock exchange capitalisation; governments and central banks place obstacles in the way of mergers and acquisitions; and there has been much talk in recent weeks about Vodafone' s bid for Mannesmann and the bailout of Holzmann.
Endelig må vi ikke glemme, hr. kommissær, at der stadig er nogle store økonomiske sektorer, som staten sidder solidt på, lige fra statslige tv-kanaler, som skatteyderne er forpligtede til at finansiere, til postvæsener og visse obligatoriske forsikringsordninger, herunder sygesikring og social sikring, som administreres af ineffektive offentlige monopoler, der ikke giver brugerne - medmindre der er tale om velhavende brugere - en chance.|||Finally, Commissioner, we cannot forget that large sections of the economy are still firmly in the hands of the state, ranging from state television, which is funded on a mandatory basis by the taxpayer, and the Post Office, to some compulsory insurance schemes, including health and social welfare systems, which are managed by inefficient state monopolies which leave no-one but the wealthy user with any other option.
Først og fremmest er der risiko for, at den uddelegering af ansvarsområderne til de enkelte medlemsstater, som er nødvendig af flere grunde, fører til en abnorm forøgelse af initiativerne på konkurrenceområdet, og at nogle fristes til at benytte sig af antitrust, ikke som en sidste garanti for, at markederne fungerer godt og forudsigeligt, men derimod som et økonomisk- og industripolitisk instrument, som et planlægningsinstrument og som et instrument til indgreb i de spontane markedsmekanismer eller måske som et instrument for protektionistiske politikker.|||First of all, there is a risk that the decentralisation of powers, though necessary in many ways, will cause an abnormal increase in competition-related initiatives, and that some people will be tempted to use competition law, not as a means to be resorted to when all else fails, of ensuring the smooth and predictable functioning of the markets, but for the purposes of as an instrument for economic and industrial policy, planning and interference with the natural workings of the markets themselves, or even for protectionist purposes.
